eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates
5.0,5440,161.3907060623169,,,,,,0.0003,0.22723883390426636,-3.7301179647445677,-0.012337717533373472,5970.009613037109,0.2300000052899122,2173.9775390625,0.2,0.027609251,0.8454090356826782,1350
,5440,,4398,136,187.11409064999995,3.53,1,,,,,,,,,,,
4.0,5480,172.4861183166504,,,,,,0.0003,-0.05151939392089844,-3.728669637441635,-0.0481726950686425,13523.984350585937,0.467500008828938,3656.554443359375,0.2,0.034659103,0.8444134593009949,1360
,5480,,4422,137,185.66778523000002,3.47,1,,,,,,,,,,,
3.0,5520,161.30055236816406,,,,,,0.0003,0.04913371801376343,-3.7264281272888184,-0.015220428885186266,13492.334906005859,0.26000000480562446,2287.193359375,0.2,0.023223152,0.8443377017974854,1370
,5520,,4441,138,193.168343,3.61,1,,,,,,,,,,,
2.0,5560,95.69065856933594,,,,,,0.0003,0.1613175868988037,-3.7281004935503006,-0.01675669895177634,15635.6755569458,0.3575000068172812,10500.599609375,0.2,0.020364676,0.844822108745575,1380
,5560,,4461,139,195.02588826,3.6,1,,,,,,,,,,,
5.0,5600,336.2060966491699,,,,,,0.0003,0.10263603925704956,-3.7335916578769686,-0.001787305319594451,11225.257501220703,0.4950000109151006,3140.48095703125,0.2,0.17713496,0.8490012884140015,1390
,5600,,4483,140,185.33254251999998,3.53,1,,,,,,,,,,,
5.0,5640,335.71283626556396,,,,,,0.0003,0.07067519426345825,-3.736020714044571,0.01828285693685757,10978.51791381836,0.3175000077113509,4244.46923828125,0.2,0.013432184,0.8463207483291626,1400
,5640,,4504,141,192.01053670999997,3.54,1,,,,,,,,,,,
5.0,5680,368.902156829834,,,,,,0.0003,0.14149010181427002,-3.731043979525566,-0.0207603544696758,11876.823956298827,0.17000000327825546,2424.08349609375,0.2,0.01429022,0.8460086584091187,1410
,5680,,4524,142,201.52753449999997,3.64,1,,,,,,,,,,,
5.0,5720,313.27796363830566,,,,,,0.0003,0.1146155595779419,-3.7313844501972198,-0.025133399237165576,12182.345846557617,0.23750000428408385,10060.73046875,0.2,0.02685121,0.8466109037399292,1420
,5720,,4549,143,200.70548767,3.59,1,,,,,,,,,,,
5.0,5760,346.28731536865234,,,,,,0.0003,0.16421622037887573,-3.7296658992767333,-0.0064172923946898665,12894.573197937012,0.25750000569969417,6363.04736328125,0.2,0.013911616,0.8460134863853455,1430
,5760,,4569,144,201.07765923000002,3.57,1,,,,,,,,,,,
2.0,5800,38.47911834716797,,,,,,0.0003,-0.00010800361633300781,-3.727251821756363,-0.011186778684332243,11081.662147521973,0.22250000443309545,3753.36669921875,0.2,0.017229619,0.8449859619140625,1440
,5800,,4589,145,209.32426849000007,3.65,1,,,,,,,,,,,
5.0,5840,561.6869964599609,,,,,,0.0003,0.09133404493331909,-3.7255473285913467,-0.010713504386367279,19240.026989746093,0.16250000316649676,21349.9140625,0.2,0.011445778,0.8456563949584961,1450
,5840,,4612,146,207.24117446999998,3.62,1,,,,,,,,,,,
