time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,train/n_updates
3560,110.72339630126953,3.0,,,,,,0.11750000212341546,0.053378164768218994,0.0003,-0.007847803752374604,14546.135889434814,3707.7822265625,-4.044497132301331,0.0127884075,0.9350932836532593,0.2,880
3560,,,89,0,3.69,3943,147.87756636,,,,,,,,,,,
3600,297.1712646484375,4.0,,,,,,0.35750000905245544,0.05796825885772705,0.0003,-0.022433713739592354,7078.501694869995,2070.09326171875,-4.0415814280509945,0.028984696,0.9337663054466248,0.2,890
3600,,,90,0,3.68,3967,147.71735522,,,,,,,,,,,
3640,167.7495540380478,5.0,,,,,,0.37500000912696124,-0.012024164199829102,0.0003,-0.038598264001266216,8212.03000946045,6290.5458984375,-4.041795182228088,0.037508488,0.934910774230957,0.2,900
3640,,,91,0,3.77,3988,156.17056298,,,,,,,,,,,
3680,21.925512313842773,3.0,,,,,,0.3000000072643161,-0.013813018798828125,0.0003,-0.023434267371412697,8926.040380859375,4958.4482421875,-4.041109412908554,0.0365879,0.9335967898368835,0.2,910
3680,,,92,0,3.85,4008,157.23790036,,,,,,,,,,,
3720,310.96829986572266,5.0,,,,,,0.22250000424683095,0.05871427059173584,0.0003,-0.015691870106020356,8140.87043914795,5063.646484375,-4.033016628026962,0.027206704,0.930273711681366,0.2,920
3720,,,93,0,3.9,4034,157.68413060999998,,,,,,,,,,,
3760,63.23359680175781,2.0,,,,,,0.2275000050663948,0.16435211896896362,0.0003,-0.02358981420788041,5463.257119750977,2068.46337890625,-4.027112317085266,0.013659305,0.9303874969482422,0.2,930
3760,,,94,0,3.77,4084,151.29916126999996,,,,,,,,,,,
3800,37.380887031555176,3.0,,,,,,0.11250000223517417,0.04752671718597412,0.0003,-0.004356816953059029,10423.062942504883,11367.7275390625,-4.022664260864258,0.00890501,0.9271689653396606,0.2,940
3800,,,95,0,3.66,4111,139.74770787,,,,,,,,,,,
3840,-5.0,1.0,,,,,,0.24250000528991222,-0.008045196533203125,0.0003,-0.017047070964908918,10206.450988769531,3124.152099609375,-4.015556263923645,0.021946596,0.9265110492706299,0.2,950
3840,,,96,0,3.72,4134,151.25385591,,,,,,,,,,,
3880,326.73826599121094,5.0,,,,,,0.07750000115483999,0.07962846755981445,0.0003,0.006475271072376931,16541.353218078613,9508.533203125,-4.0135837495327,0.005548518,0.9258610010147095,0.2,960
3880,,,97,0,3.77,4157,157.49615228000002,,,,,,,,,,,
3920,391.54659271240234,5.0,,,,,,0.09750000145286322,0.08268982172012329,0.0003,-0.00010230807054540935,11962.849594116211,3692.3701171875,-4.009643149375916,0.011977673,0.9246150255203247,0.2,970
3920,,,98,0,3.77,4187,159.43660619000002,,,,,,,,,,,
