time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
,,,,1840,,-10.0,2.0,2.3073947429656982,1739,6.099067211151123,0.001
964,4936,-9.00158382,1.81,1844,0,,,,,,
968,4942,-9.60158382,1.93,1860,0,,,1.7856997728347779,1755,6.381485939025879,0.001
972,4948,-10.25158382,2.06,1878,0,,,1.574793291091919,1775,6.2690370082855225,0.001
,,,,1880,,-10.0,2.0,2.744360168774923,1778,6.520392894744873,0.001
976,4958,-10.60158382,2.13,1890,0,,,6.488935947418213,1786,7.267436981201172,0.001
980,4965,-11.201583820000002,2.25,1908,0,,,4.182914447784424,1803,6.701558828353882,0.001
984,4970,-11.50158382,2.31,1918,0,,,2.8078492283821106,1817,6.9487810134887695,0.001
,,,,1920,,-25.0,5.0,7.946640968322754,1818,6.891749858856201,0.001
988,4982,-12.00158382,2.41,1932,0,,,4.381447633107503,1831,6.286172866821289,0.001
992,4988,-12.35158382,2.48,1944,0,,,1.485851764678955,1841,6.720056056976318,0.001
996,4994,-12.65158382,2.54,1956,0,,,4.780084848403931,1855,6.559892416000366,0.001
,,,,1960,,-15.0,3.0,5.751972675323486,1859,6.58700704574585,0.001
1000,5005,-13.07520929,2.64,1971,0,,,10.078432369232178,1867,6.82742714881897,0.001
1004,5013,-13.67520929,2.76,1988,0,,,4.6892202496528625,1883,7.390253067016602,0.001
,,,,2000,,-25.0,5.0,17.258956909179688,1897,7.042385101318359,0.001
1008,5028,-13.97520929,2.82,2001,0,,,,,,
1012,5033,-14.52520929,2.93,2017,0,,,4.737952327728271,1912,7.157317479451497,0.001
1016,5039,-14.97520929,3.02,2033,0,,,3.988575983047485,1928,7.322690010070801,0.001
,,,,2040,,-25.0,5.0,6.465942668914795,1939,7.301352024078369,0.001
1020,5050,-15.37520929,3.1,2047,0,,,4.497933864593506,1942,7.221223831176758,0.001
1024,5057,-16.07520929,3.24,2067,0,,,4.440104341506958,1962,7.613234519958496,0.001
,,,,2080,,-25.0,5.0,6.3906989097595215,1978,7.834085146586101,0.001
1028,5068,-16.47520929,3.32,2081,0,,,,,,
