time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction
3640,,,1.75,91,5397,14.39811942,0,,,,,,,,,,,
3680,-13.380189180374146,5.0,,,,,,596.1508504867554,114.54039001464844,0.017852485179901123,910,0.8663708567619324,0.2,0.052081652,-0.012870831882173661,-3.818461388349533,0.0003,0.3075000081211329
3680,,,1.89,92,5482,16.2469712,0,,,,,,,,,,,
3720,-10.0,2.0,,,,,,573.1006212234497,86.59333801269531,0.04819279909133911,920,0.8593217730522156,0.2,0.03750956,-0.004198808631699647,-3.8038594871759415,0.0003,0.4425000099465251
3720,,,1.69,93,5564,11.03291122,0,,,,,,,,,,,
3760,-4.855629920959473,3.0,,,,,,225.7923010826111,165.41720581054688,-0.0152055025100708,930,0.8600829839706421,0.2,0.052889187,0.007634250192350001,-3.7915397226810454,0.0003,0.37000000905245545
3760,,,1.64,94,5623,6.972446720000001,0,,,,,,,,,,,
3800,-10.0,2.0,,,,,,407.2303237438202,227.7609405517578,-0.010376453399658203,940,0.853261411190033,0.2,0.0504859,-0.022131664062762856,-3.782062390446663,0.0003,0.3925000086426735
3800,,,1.71,95,5677,8.64922941,0,,,,,,,,,,,
3840,-0.1255645751953125,2.0,,,,,,2829.8174080848694,501.21051025390625,0.0065479278564453125,950,0.8501120805740356,0.2,0.017081551,-0.008667278323482597,-3.764214190840721,0.0003,0.2100000038743019
3840,,,1.76,96,5744,10.71979931,0,,,,,,,,,,,
3880,27.719399705529213,5.0,,,,,,1289.2812259674072,824.18603515625,-0.009938240051269531,960,0.8503877520561218,0.2,0.010513312,-0.006385030272103909,-3.7574702501296997,0.0003,0.13000000268220901
3880,,,1.74,97,5838,12.11849485,0,,,,,,,,,,,
3920,-10.0,2.0,,,,,,621.7991439819336,218.78343200683594,-0.01566779613494873,970,0.8519276976585388,0.2,0.021863298,-0.01810903308816707,-3.761361634731293,0.0003,0.3900000089779496
3920,,,1.85,98,5975,12.053721449999998,0,,,,,,,,,,,
