time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/loss
7800,,,4.48,114.4784163,6658,1,195,,,,,,,,,,,
7840,5.0,112.61433410644531,,,,,,1967.6740837097168,1950,0.2,-3.122793200612068,0.40595972537994385,0.0003,-0.01788238988359807,0.25750000644475224,0.015502229,0.7109266519546509,969.5077514648438
7840,,,4.44,113.91245656,6702,1,196,,,,,,,,,,,
7880,5.0,110.93383884429932,,,,,,2743.353842544556,1960,0.2,-3.1249728322029116,0.04897010326385498,0.0003,-0.024307073187337668,0.17250000312924385,0.009059118,0.710086464881897,734.5852661132812
7880,,,4.35,109.41902841999999,6743,1,197,,,,,,,,,,,
7920,5.0,238.07281112670898,,,,,,1769.7141248226167,1970,0.2,-3.1211831718683243,0.054477035999298096,0.0003,-0.02670352709974395,0.5275000102818013,0.037853263,0.710211455821991,1172.38037109375
7920,,,4.24,103.95016229999999,6851,1,198,,,,,,,,,,,
7960,4.0,106.81532096862793,,,,,,2496.183557891846,1980,0.2,-3.119541123509407,-0.07918572425842285,0.0003,-0.01579322242610942,0.23250000569969415,0.005198723,0.7085686922073364,684.8377685546875
7960,,,4.16,103.39828731,6887,1,199,,,,,,,,,,,
8000,5.0,177.7025375366211,,,,,,3114.0166038513185,1990,0.2,-3.1131705373525618,0.04499506950378418,0.0003,-0.051572561914290424,0.5175000112503767,0.16502835,0.7082287669181824,647.7130126953125
8000,,,4.08,101.00417037,6926,1,200,,,,,,,,,,,
8040,5.0,216.53953170776367,,,,,,2559.6522260665893,2000,0.2,-3.1106175810098646,-0.026454806327819824,0.0003,-0.024455914173959183,0.32750000823289155,0.023990445,0.7070662975311279,2301.415283203125
8040,,,4.09,100.76764748000004,6964,1,201,,,,,,,,,,,
8080,5.0,54.162665367126465,,,,,,2249.5674697875975,2010,0.2,-3.102036926150322,0.3101334571838379,0.0003,-0.02576834966894239,0.32500000651925803,0.04278917,0.703681230545044,957.2785034179688
8080,,,4.12,100.03466372000001,7000,1,202,,,,,,,,,,,
8120,5.0,121.67076134681702,,,,,,1230.060888671875,2020,0.2,-3.096669128537178,0.20722681283950806,0.0003,-0.03161666528918432,0.25750000569969417,0.025140952,0.7041375637054443,680.6825561523438
8120,,,4.15,100.94180938,7040,1,203,,,,,,,,,,,
8160,5.0,113.1588476896286,,,,,,1782.0162189483642,2030,0.2,-3.095510962605476,0.4127994775772095,0.0003,-0.016515625143802025,0.23000000435858964,0.027043905,0.7036935687065125,477.01141357421875
8160,,,4.22,103.19700705,7078,1,204,,,,,,,,,,,
8200,5.0,184.7402687072754,,,,,,1642.2424848556518,2040,0.2,-3.0888166606426237,0.33164119720458984,0.0003,0.0021722422796483397,0.14500000309199096,0.13958965,0.701602578163147,1374.8511962890625
8200,,,4.12,97.07103945,7119,1,205,,,,,,,,,,,
8240,5.0,167.26445960998535,,,,,,2200.5743213653564,2050,0.2,-3.081700325012207,0.15819203853607178,0.0003,-0.05040945426400867,0.4150000102818012,0.034390375,0.7017020583152771,564.8164672851562
8240,,,4.13,96.49457779000001,7161,1,206,,,,,,,,,,,
8280,5.0,165.1498794555664,,,,,,2095.2407318115233,2060,0.2,-3.0799402356147767,0.2991985082626343,0.0003,-0.042394279484142317,0.470000010356307,0.04383122,0.7003846168518066,859.1815795898438
8280,,,4.15,97.86572621,7201,1,207,,,,,,,,,,,
8320,5.0,112.63348197937012,,,,,,2006.122411632538,2070,0.2,-3.074468156695366,0.13922375440597534,0.0003,-0.029965252080437477,0.38000000901520253,0.09230986,0.6995322108268738,944.2942504882812
8320,,,4.24,104.90625347999998,7245,1,208,,,,,,,,,,,
8360,5.0,194.3102512359619,,,,,,2578.892484664917,2080,0.2,-3.0615173161029814,0.2531774640083313,0.0003,-0.014029117504833266,0.2500000046566129,0.016848097,0.6963054537773132,1234.2745361328125
8360,,,4.28,108.30245881,7289,1,209,,,,,,,,,,,
