time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/std
2840,5.0,62.75290361046791,,,,,,0.030281805,0.0003,0.043074965476989746,700,583.1095581054688,-3.6890926480293276,0.30250000655651094,-0.0382880746255978,1173.4156591415406,0.2,0.8329004049301147
2840,,,5111,0,49.50833968999999,4.08,71,,,,,,,,,,,
2880,5.0,76.18508386611938,,,,,,0.02124514,0.0003,0.12861484289169312,710,114.09033203125,-3.6817760288715364,0.32750000767409804,-0.011367869105306471,564.8697577953338,0.2,0.8294280767440796
2880,,,5148,0,48.36387653,4.05,72,,,,,,,,,,,
2920,5.0,70.27003955841064,,,,,,0.0144601315,0.0003,0.14487868547439575,720,211.97354125976562,-3.6691177606582643,0.1850000036880374,-0.016829313767666464,696.3836327552796,0.2,0.8278933763504028
2920,,,5188,0,50.53049581000001,4.1,73,,,,,,,,,,,
2960,5.0,47.42825973033905,,,,,,0.01736747,0.0003,0.16240942478179932,730,505.87890625,-3.659663641452789,0.21000000480562447,-0.015146201088209655,895.6858636379242,0.2,0.8248810172080994
2960,,,5226,0,52.87858088,4.13,74,,,,,,,,,,,
3000,2.0,13.618841171264648,,,,,,0.035359163,0.0003,0.14564460515975952,740,866.5657958984375,-3.6454942375421524,0.31500000692903996,-0.04454160991852405,1036.36322889328,0.2,0.8212898969650269
3000,,,5260,0,55.83892717,4.12,75,,,,,,,,,,,
3040,5.0,130.64715385437012,,,,,,0.010798186,0.0003,0.10290426015853882,750,620.4160766601562,-3.639830303192139,0.1400000024586916,-0.019312146935517395,1213.4484642028808,0.2,0.8211455345153809
3040,,,5346,0,58.03323432,4.15,76,,,,,,,,,,,
3080,5.0,35.25682759284973,,,,,,0.012919441,0.0003,0.13364970684051514,760,518.4180297851562,-3.637212887406349,0.11000000219792128,-0.0064804847619143405,1025.024567604065,0.2,0.8198117017745972
3080,,,5385,0,57.997303959999996,4.08,77,,,,,,,,,,,
3120,5.0,100.28080368041992,,,,,,0.025938895,0.0003,0.007744848728179932,770,283.3310852050781,-3.6252704590559004,0.18750000316649676,-0.02625515252977495,1145.8816591262816,0.2,0.8156919479370117
